example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|общий|229-ФЗ|ФЗ|21||02.10.2007|2|2|gemini;qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|общий|229-ФЗ|ФЗ|22||02.10.2007|2|2|gemini;qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|специальный|229-ФЗ|ФЗ|46|4|02.10.2007|2|2|gemini;qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|общий|229-ФЗ|ФЗ|22|1|02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|специальный|229-ФЗ|ФЗ|46|3|02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|специальный|229-ФЗ|ФЗ|47|7|02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|специальный|229-ФЗ|ФЗ|47|71|02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|общий|229-ФЗ|ФЗ|64||02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|общий|229-ФЗ|ФЗ|30||02.10.2007|1|2|qwen
297|19f1fcc2-2422-4297-9992-e7957a0e9aeb|специальный|229-ФЗ|ФЗ|46||02.10.2007|1|2|gemini
