example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|общий||ЖК|161||3|3|gemini;gpt;qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|491|ПП|10|13.08.2006|2|3|gemini;qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|общий||ЖК|44||2|3|gpt;qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|491|ПП|2|13.08.2006|1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|290|ПП|1|03.04.2013|1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|170|Постановление Госстроя Российской Федерации|3.2.1|27.09.2003|1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный||ЖК|162||1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|общий||ЖК|196||1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный||КОАП|7.22||1|3|qwen
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|170|Постановление Госстроя РФ «Об утверждении Правил и норм технической эксплуатации жилищного фонда»|3.2.9|27.09.2003|1|3|gemini
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|общий|290|ПП|20|03.04.2013|1|3|gemini
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|общий||ЖК|39||1|3|gpt
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|491|ПП|42|13.08.2006|1|3|gpt
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|290|ПП||03.04.2013|1|3|gpt
584|e5b90a45-f018-4bb2-927d-e0dfc08c5eef|специальный|170|Постановление Госстроя РФ|3.2.9|27.09.2003|1|3|gpt
