example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный|323-ФЗ|ФЗ|19|21.11.2011|4|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||УК|159||3|5|gpt;perplexity_claude_sonnet;qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||Конституция|41||3|5|gemini;gpt;perplexity_grok
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный|323-ФЗ|ФЗ|11|21.11.2011|3|5|gemini;gpt;perplexity_grok
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||УК|163||2|5|perplexity_claude_sonnet;qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный|323-ФЗ|ФЗ|32|21.11.2011|1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный||УК|290||1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||УПК|31||1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||УПК|151||1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||ГК|779||1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||ГК|15||1|5|perplexity_claude_sonnet
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||ГК|782||1|5|qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный|1006|ПП||04.10.2012|1|5|qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный||КОАП|14.8||1|5|qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий|59-ФЗ|ФЗ|8|02.05.2006|1|5|qwen
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный||УК|291.2||1|5|gemini
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный|323-ФЗ|ФЗ|73|21.11.2011|1|5|gpt
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|специальный||УК|124||1|5|gpt
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||ГК|575||1|5|perplexity_grok
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий|2300-1|"Закон Российской Федерации от 07.02.1992 № 2300-1 ""О защите прав потребителей"""|16|07.02.1992|1|5|perplexity_grok
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|общий||ГПК|17||1|5|perplexity_grok
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|121|02.10.2007|3|5|gemini;gpt;perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|123|02.10.2007|3|5|gemini;perplexity_claude_sonnet;perplexity_grok
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|122|02.10.2007|2|5|gemini;perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|общий||КАС|218||2|5|gemini;perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|36|02.10.2007|2|5|gpt;perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|47|02.10.2007|1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|общий||КАС|219||1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|общий||ГПК|441||1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный||АПК|198||1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|13|02.10.2007|1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|30|02.10.2007|1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|68|02.10.2007|1|5|perplexity_claude_sonnet
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный||КОАП|12.19||1|5|qwen
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|289-ПП|ПП|2.1|17.05.2013|1|5|qwen
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|общий|118-ФЗ|ФЗ|12|21.07.1997|1|5|gemini
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|64|02.10.2007|1|5|gpt
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|64.1|02.10.2007|1|5|gpt
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|1|02.10.2007|1|5|perplexity_grok
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|4|02.10.2007|1|5|perplexity_grok
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|специальный|229-ФЗ|ФЗ|5|02.10.2007|1|5|perplexity_grok
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГК|1064||5|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok;qwen
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГК|15||3|5|gemini;gpt;perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный||ГПК|29||2|5|perplexity_claude_sonnet;qwen
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГПК|28||2|5|perplexity_grok;qwen
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный|196-ФЗ|ФЗ|12|10.12.1995|2|5|gemini;gpt
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный|257-ФЗ|ФЗ|28|08.11.2007|2|5|gemini;gpt
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный||ГК|1069||1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГК|151||1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный|257-ФЗ|ФЗ|3|08.11.2007|1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный|257-ФЗ|ФЗ|5|08.11.2007|1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГПК|24||1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|специальный||ГК|1071||1|5|perplexity_claude_sonnet
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|общий||ГК|1082||1|5|perplexity_claude_sonnet
